tractID,Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Total:_x,Owner occupied,Renter occupied,Total:_y,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Median value (dollars),Total:,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed,pct_owner_occ,pct_renter_occ,pct_white,pct_black,pct_asian,pct_amer_indian,pct_pacific_isl,pct_other_race,pct_two_plus_race,pct_renter_cost_burdened,pct_renter_severely_burdened,TRACTCE,GEOID
290.03,96970.0,1970,1101,869,6190,1799,1237,5,1143,140,936,930,223,707,594800.0,869,0,0,62,24,196,108,265,97,117,0,0.5588832487309645,0.44111675126903555,0.2906300484652666,0.1998384491114701,0.18465266558966073,0.0008077544426494346,0.022617124394184167,0.15121163166397414,0.15024232633279483,0.6754890678941312,0.13463751438434982,029003,53033029003
290.04,47988.0,1294,509,785,4620,838,68,81,835,10,1393,1395,385,1010,446200.0,785,0,22,48,116,57,47,24,92,350,29,0.39335394126738793,0.606646058732612,0.18138528138528137,0.01471861471861472,0.18073593073593072,0.01753246753246753,0.0021645021645021645,0.3015151515151515,0.30194805194805197,0.6535031847133758,0.445859872611465,029004,53033029004
291.01,111298.0,1519,1048,471,4544,1353,1443,0,950,16,366,416,140,276,548700.0,471,0,72,42,51,13,13,17,80,163,20,0.6899275839368005,0.31007241606319946,0.29775528169014087,0.3175616197183099,0.20906690140845072,0.0,0.0035211267605633804,0.08054577464788733,0.09154929577464789,0.5796178343949044,0.346072186836518,029101,53033029101
291.02,97589.0,1551,1033,518,5578,1611,566,11,1261,35,1565,529,135,394,602900.0,518,0,63,35,88,112,18,0,0,202,0,0.6660219213410703,0.3339780786589297,0.2888131946934385,0.10147006095374686,0.22606669057009682,0.001972032986733596,0.00627465041233417,0.28056651129437077,0.09483685908927932,0.4247104247104247,0.38996138996138996,029102,53033029102
292.03,76597.0,1549,500,1049,4407,1994,516,0,481,142,777,497,176,321,475600.0,1049,61,37,116,71,226,76,36,157,269,0,0.32278889606197547,0.6772111039380245,0.4524619922850011,0.11708645336963922,0.10914454277286136,0.0,0.032221465849784435,0.17631041524846836,0.11277513047424552,0.5128693994280267,0.25643469971401334,029203,53033029203
292.05,89132.0,2071,1327,744,4813,1559,890,57,632,406,921,348,249,99,422200.0,744,31,27,44,111,111,112,17,78,213,0,0.6407532592950266,0.3592467407049734,0.3239143985040515,0.18491585289840018,0.13131103261998753,0.011842925410346978,0.08435487222106794,0.19135674215665904,0.07230417618948681,0.5645161290322581,0.2862903225806452,029205,53033029205
292.06,51875.0,2047,179,1868,5060,1043,950,0,469,1031,988,579,282,297,323700.0,1868,81,28,80,210,152,334,111,94,778,0,0.08744504152418173,0.9125549584758182,0.20612648221343874,0.18774703557312253,0.09268774703557313,0.0,0.20375494071146244,0.19525691699604744,0.11442687747035574,0.7050321199143469,0.4164882226980728,029206,53033029206
292.07,123487.0,925,894,31,2701,898,88,0,1267,27,139,282,27,255,736500.0,31,0,0,0,0,0,9,0,0,22,0,0.9664864864864865,0.03351351351351351,0.332469455757127,0.03258052573121066,0.46908552388004443,0.0,0.009996297667530544,0.05146242132543503,0.10440577563865235,1.0,0.7096774193548387,029207,53033029207
292.08,71538.0,1649,323,1326,4363,1339,1050,30,1009,0,356,579,100,479,518200.0,1326,95,70,60,133,185,117,43,141,446,36,0.1958762886597938,0.8041237113402062,0.3068989227595691,0.2406600962640385,0.231262892505157,0.0068760027504011,0.0,0.08159523263809305,0.13270685308274124,0.5633484162895928,0.33634992458521873,029208,53033029208
293.04,136111.0,1894,1396,498,5238,2336,323,132,1260,49,364,774,143,631,683900.0,498,0,72,128,54,45,39,36,50,74,0,0.737064413938754,0.26293558606124606,0.4459717449408171,0.0616647575410462,0.24054982817869416,0.025200458190148912,0.009354715540282551,0.06949217258495609,0.14776632302405499,0.39959839357429716,0.14859437751004015,029304,53033029304
293.05,119444.0,1574,1393,181,4884,1566,513,46,1804,0,252,703,104,599,701600.0,181,0,0,53,18,42,0,24,0,0,44,0.8850063532401525,0.11499364675984752,0.32063882063882065,0.10503685503685503,0.36936936936936937,0.009418509418509418,0.0,0.051597051597051594,0.14393939393939395,0.13259668508287292,0.0,029305,53033029305
293.06,117500.0,1266,983,283,3640,1166,650,10,1087,61,294,372,102,270,593800.0,283,5,10,34,48,0,14,0,22,83,67,0.7764612954186414,0.2235387045813586,0.32032967032967036,0.17857142857142858,0.2986263736263736,0.0027472527472527475,0.016758241758241758,0.08076923076923077,0.1021978021978022,0.4204946996466431,0.29328621908127206,029306,53033029306
293.07,116875.0,1371,1133,238,4031,2323,444,84,488,0,140,552,134,418,640200.0,238,0,11,55,0,9,16,45,72,30,0,0.8264040846097739,0.17359591539022612,0.5762838005457703,0.11014636566608782,0.12106177127263706,0.020838501612503103,0.0,0.0347308360208385,0.13693872488216324,0.6848739495798319,0.12605042016806722,029307,53033029307
293.08,116316.0,1280,706,574,3522,811,272,26,1317,88,427,581,122,459,641900.0,574,0,21,144,14,8,92,0,192,98,5,0.5515625,0.4484375,0.23026689381033505,0.07722884724588303,0.3739352640545145,0.0073821692220329355,0.02498580352072686,0.12123793299261783,0.16496308915388982,0.6655052264808362,0.17073170731707318,029308,53033029308
293.09,112588.0,2066,1174,892,5413,1874,482,97,1854,0,238,868,131,737,610500.0,892,39,13,43,23,119,161,118,213,163,0,0.5682478218780251,0.4317521781219748,0.3462035839645298,0.08904489192684278,0.3425087751708849,0.017919822649177904,0.0,0.04396822464437465,0.1603547016441899,0.734304932735426,0.1827354260089686,029309,53033029309
294.03,111989.0,2273,1470,803,5718,1657,350,0,1868,47,406,1390,362,1028,605900.0,803,21,29,75,352,33,27,0,106,84,76,0.6467223933128025,0.35327760668719754,0.2897866386848548,0.061210213361315144,0.32668765302553343,0.0,0.008219657222805177,0.07100384749912557,0.24309199020636585,0.27023661270236615,0.10460772104607721,029403,53033029403
294.05,145721.0,1829,1601,228,5564,2094,619,173,1771,37,119,751,166,585,612800.0,228,0,0,8,70,33,33,14,0,70,0,0.8753417167851285,0.12465828321487152,0.37634795111430625,0.11125089863407621,0.3182961897915169,0.03109273903666427,0.0066498921639108555,0.02138749101365924,0.13497483824586629,0.5131578947368421,0.30701754385964913,029405,53033029405
294.06,128259.0,1517,1323,194,4680,2015,556,19,1300,0,175,615,49,566,632600.0,194,27,0,12,8,27,25,0,12,68,15,0.8721160184574819,0.12788398154251812,0.4305555555555556,0.1188034188034188,0.2777777777777778,0.00405982905982906,0.0,0.03739316239316239,0.13141025641025642,0.5412371134020618,0.35051546391752575,029406,53033029406
294.07,67313.0,1632,791,841,5047,1555,985,43,1137,334,344,649,223,426,516200.0,841,0,57,22,49,130,70,162,50,275,26,0.4846813725490196,0.5153186274509803,0.3081038240538934,0.19516544481870418,0.22528234594808796,0.00851991281949673,0.06617792748167228,0.06815930255597384,0.1285912423221716,0.6623067776456599,0.3269916765755054,029407,53033029407
294.08,75703.0,1658,705,953,4633,1129,748,6,1282,0,669,799,452,347,425500.0,953,11,94,66,140,185,31,113,50,207,56,0.425211097708082,0.5747889022919179,0.24368659615799698,0.16145046406216274,0.2767105547161666,0.0012950571983595942,0.0,0.14439887761709475,0.1724584502482193,0.42077649527806926,0.21720881427072403,029408,53033029408
